Category,Name,Visitor Count,Climate,Price Level,Best Month,Editorial Summary,Popularity Tier,Address,UNESCO,Rating,userRatingCount,websiteUri,googleMapsUri,Keyword 1,Keyword 2,Keyword 3
Country,Canada,84417102,Dfb,3,June - August,The sovereign state of Canada.,28.31,Canada,Yes,4.8,788660,https://www.visitcanada.com,https://www.google.com/maps/search/Canada,Culture & Museums,Food & Wine,Adventure
State/Province,"Alberta, Canada",1347554,Dfb,3,June - August,The sub-region of Alberta in Canada.,23.97,"Alberta, Canada",No,4.3,374973,https://www.tourism.alberta.gov,https://www.google.com/maps/search/Alberta+Canada,Nature and Hiking,City Break,Family
State/Province,"British Columbia, Canada",6577431,Dfb,3,June - August,The sub-region of British Columbia in Canada.,26.45,"British Columbia, Canada",No,4.7,424133,https://www.tourism.britishcolumbia.gov,https://www.google.com/maps/search/British+Columbia+Canada,Nature and Hiking,City Break,Family
State/Province,"Manitoba, Canada",9703285,Dfb,3,June - August,The sub-region of Manitoba in Canada.,22.74,"Manitoba, Canada",No,4.7,69073,https://www.tourism.manitoba.gov,https://www.google.com/maps/search/Manitoba+Canada,Nature and Hiking,City Break,Family
State/Province,"New Brunswick, Canada",9840312,Dfb,3,June - August,The sub-region of New Brunswick in Canada.,22.35,"New Brunswick, Canada",No,4.0,386948,https://www.tourism.newbrunswick.gov,https://www.google.com/maps/search/New+Brunswick+Canada,Nature and Hiking,City Break,Family
State/Province,"Newfoundland and Labrador, Canada",5308918,Dfb,3,June - August,The sub-region of Newfoundland and Labrador in Canada.,23.0,"Newfoundland and Labrador, Canada",No,4.1,406437,https://www.tourism.newfoundlandandlabrador.gov,https://www.google.com/maps/search/Newfoundland+and+Labrador+Canada,Nature and Hiking,City Break,Family
State/Province,"Nova Scotia, Canada",584020,Dfb,3,June - August,The sub-region of Nova Scotia in Canada.,25.53,"Nova Scotia, Canada",No,4.6,355171,https://www.tourism.novascotia.gov,https://www.google.com/maps/search/Nova+Scotia+Canada,Nature and Hiking,City Break,Family
State/Province,"Ontario, Canada",638420,Dfb,3,June - August,The sub-region of Ontario in Canada.,19.97,"Ontario, Canada",No,4.4,34621,https://www.tourism.ontario.gov,https://www.google.com/maps/search/Ontario+Canada,Nature and Hiking,City Break,Family
State/Province,"Prince Edward Island, Canada",3545839,Dfb,3,June - August,The sub-region of Prince Edward Island in Canada.,23.56,"Prince Edward Island, Canada",No,4.5,172246,https://www.tourism.princeedwardisland.gov,https://www.google.com/maps/search/Prince+Edward+Island+Canada,Nature and Hiking,City Break,Family
State/Province,"Quebec, Canada",8129194,Dfb,3,June - August,The sub-region of Quebec in Canada.,25.97,"Quebec, Canada",No,4.6,442437,https://www.tourism.quebec.gov,https://www.google.com/maps/search/Quebec+Canada,Nature and Hiking,City Break,Family
State/Province,"Saskatchewan, Canada",6088580,Dfb,3,June - August,The sub-region of Saskatchewan in Canada.,25.64,"Saskatchewan, Canada",No,4.5,498952,https://www.tourism.saskatchewan.gov,https://www.google.com/maps/search/Saskatchewan+Canada,Nature and Hiking,City Break,Family
Country,China,29012099,Dwa,2,May - October,The sovereign state of China.,29.3,China,Yes,4.9,952029,https://www.visitchina.com,https://www.google.com/maps/search/China,Culture & Museums,Food & Wine,Adventure
State/Province,"Guangdong, China",5759099,Dwa,2,May - October,The sub-region of Guangdong in China.,21.49,"Guangdong, China",No,3.9,323984,https://www.tourism.guangdong.gov,https://www.google.com/maps/search/Guangdong+China,Nature and Hiking,City Break,Family
State/Province,"Jiangsu, China",4999087,Dwa,2,May - October,The sub-region of Jiangsu in China.,26.64,"Jiangsu, China",No,4.7,466105,https://www.tourism.jiangsu.gov,https://www.google.com/maps/search/Jiangsu+China,Nature and Hiking,City Break,Family
State/Province,"Shandong, China",1437051,Dwa,2,May - October,The sub-region of Shandong in China.,26.19,"Shandong, China",No,4.7,373700,https://www.tourism.shandong.gov,https://www.google.com/maps/search/Shandong+China,Nature and Hiking,City Break,Family
State/Province,"Zhejiang, China",1356118,Dwa,2,May - October,The sub-region of Zhejiang in China.,23.71,"Zhejiang, China",No,4.5,185852,https://www.tourism.zhejiang.gov,https://www.google.com/maps/search/Zhejiang+China,Nature and Hiking,City Break,Family
State/Province,"Sichuan, China",9935480,Dwa,2,May - October,The sub-region of Sichuan in China.,25.9,"Sichuan, China",No,4.6,426792,https://www.tourism.sichuan.gov,https://www.google.com/maps/search/Sichuan+China,Nature and Hiking,City Break,Family
Country,France,86244015,Cfb,3,June - August,The sovereign state of France.,23.65,France,Yes,4.1,586786,https://www.visitfrance.com,https://www.google.com/maps/search/France,Culture & Museums,Food & Wine,Adventure
Country,Germany,37594693,Cfb,3,June - August,The sovereign state of Germany.,27.44,Germany,Yes,4.7,687555,https://www.visitgermany.com,https://www.google.com/maps/search/Germany,Culture & Museums,Food & Wine,Adventure
State/Province,"Bavaria, Germany",6441254,Cfb,3,June - August,The sub-region of Bavaria in Germany.,23.75,"Bavaria, Germany",No,4.3,334459,https://www.tourism.bavaria.gov,https://www.google.com/maps/search/Bavaria+Germany,Nature and Hiking,City Break,Family
State/Province,"Berlin, Germany",4041791,Cfb,3,June - August,The sub-region of Berlin in Germany.,26.73,"Berlin, Germany",No,4.8,369655,https://www.tourism.berlin.gov,https://www.google.com/maps/search/Berlin+Germany,Nature and Hiking,City Break,Family
State/Province,"Hamburg, Germany",5120328,Cfb,3,June - August,The sub-region of Hamburg in Germany.,22.54,"Hamburg, Germany",No,4.0,431938,https://www.tourism.hamburg.gov,https://www.google.com/maps/search/Hamburg+Germany,Nature and Hiking,City Break,Family
State/Province,"Saxony, Germany",1902840,Cfb,3,June - August,The sub-region of Saxony in Germany.,22.88,"Saxony, Germany",No,4.4,158740,https://www.tourism.saxony.gov,https://www.google.com/maps/search/Saxony+Germany,Nature and Hiking,City Break,Family
State/Province,"Hesse, Germany",8683042,Cfb,3,June - August,The sub-region of Hesse in Germany.,16.9,"Hesse, Germany",No,4.0,16825,https://www.tourism.hesse.gov,https://www.google.com/maps/search/Hesse+Germany,Nature and Hiking,City Break,Family
Country,India,80367771,Aw,1,November - April,The sovereign state of India.,28.38,India,Yes,4.8,817483,https://www.visitindia.com,https://www.google.com/maps/search/India,Culture & Museums,Food & Wine,Adventure
State/Province,"Maharashtra, India",8438721,Aw,1,November - April,The sub-region of Maharashtra in India.,23.8,"Maharashtra, India",No,4.2,464835,https://www.tourism.maharashtra.gov,https://www.google.com/maps/search/Maharashtra+India,Nature and Hiking,City Break,Family
State/Province,"Uttar Pradesh, India",8713431,Aw,1,November - April,The sub-region of Uttar Pradesh in India.,19.54,"Uttar Pradesh, India",No,4.0,76661,https://www.tourism.uttarpradesh.gov,https://www.google.com/maps/search/Uttar+Pradesh+India,Nature and Hiking,City Break,Family
State/Province,"Tamil Nadu, India",661132,Aw,1,November - April,The sub-region of Tamil Nadu in India.,21.97,"Tamil Nadu, India",No,3.9,429154,https://www.tourism.tamilnadu.gov,https://www.google.com/maps/search/Tamil+Nadu+India,Nature and Hiking,City Break,Family
State/Province,"Karnataka, India",4028931,Aw,1,November - April,The sub-region of Karnataka in India.,19.34,"Karnataka, India",No,4.6,16003,https://www.tourism.karnataka.gov,https://www.google.com/maps/search/Karnataka+India,Nature and Hiking,City Break,Family
State/Province,"Rajasthan, India",7398245,Aw,1,November - April,The sub-region of Rajasthan in India.,23.3,"Rajasthan, India",No,4.5,150814,https://www.tourism.rajasthan.gov,https://www.google.com/maps/search/Rajasthan+India,Nature and Hiking,City Break,Family
State/Province,"Gujarat, India",2323385,Aw,1,November - April,The sub-region of Gujarat in India.,21.26,"Gujarat, India",No,3.9,283489,https://www.tourism.gujarat.gov,https://www.google.com/maps/search/Gujarat+India,Nature and Hiking,City Break,Family
Country,Japan,15361969,Cfa,3,September - November,The sovereign state of Japan.,24.96,Japan,Yes,4.3,638884,https://www.visitjapan.com,https://www.google.com/maps/search/Japan,Culture & Museums,Food & Wine,Adventure
Country,Mexico,8865944,Aw,1,November - April,The sovereign state of Mexico.,24.11,Mexico,Yes,4.1,760049,https://www.visitmexico.com,https://www.google.com/maps/search/Mexico,Culture & Museums,Food & Wine,Adventure
Country,Spain,31352053,Csa,2,April - June,The sovereign state of Spain.,23.07,Spain,Yes,4.3,231691,https://www.visitspain.com,https://www.google.com/maps/search/Spain,Culture & Museums,Food & Wine,Adventure
Country,United Kingdom,37793927,Cfb,3,June - August,The sovereign state of United Kingdom.,24.3,United Kingdom,Yes,4.7,147718,https://www.visitunitedkingdom.com,https://www.google.com/maps/search/United+Kingdom,Culture & Museums,Food & Wine,Adventure
State/Province,"England, United Kingdom",6170734,Cfb,3,June - August,The sub-region of England in United Kingdom.,24.33,"England, United Kingdom",No,4.3,453941,https://www.tourism.england.gov,https://www.google.com/maps/search/England+United+Kingdom,Nature and Hiking,City Break,Family
State/Province,"Scotland, United Kingdom",4126149,Cfb,3,June - August,The sub-region of Scotland in United Kingdom.,22.05,"Scotland, United Kingdom",No,4.1,238513,https://www.tourism.scotland.gov,https://www.google.com/maps/search/Scotland+United+Kingdom,Nature and Hiking,City Break,Family
State/Province,"Wales, United Kingdom",9113851,Cfb,3,June - August,The sub-region of Wales in United Kingdom.,20.97,"Wales, United Kingdom",No,4.1,130221,https://www.tourism.wales.gov,https://www.google.com/maps/search/Wales+United+Kingdom,Nature and Hiking,City Break,Family
State/Province,"Northern Ireland, United Kingdom",231235,Cfb,3,June - August,The sub-region of Northern Ireland in United Kingdom.,18.36,"Northern Ireland, United Kingdom",No,3.9,50977,https://www.tourism.northernireland.gov,https://www.google.com/maps/search/Northern+Ireland+United+Kingdom,Nature and Hiking,City Break,Family
Country,United States,31894778,Cfa,3,September - November,The sovereign state of United States.,28.04,United States,Yes,4.8,695191,https://www.visitunitedstates.com,https://www.google.com/maps/search/United+States,Culture & Museums,Food & Wine,Adventure
State/Province,"Alabama, United States",2189408,Cfa,3,September - November,The sub-region of Alabama in United States.,21.73,"Alabama, United States",No,4.0,270639,https://www.tourism.alabama.gov,https://www.google.com/maps/search/Alabama+United+States,Nature and Hiking,City Break,Family
State/Province,"Alaska, United States",4674903,Cfa,3,September - November,The sub-region of Alaska in United States.,20.35,"Alaska, United States",No,4.1,91710,https://www.tourism.alaska.gov,https://www.google.com/maps/search/Alaska+United+States,Nature and Hiking,City Break,Family
State/Province,"Arizona, United States",2448783,Cfa,3,September - November,The sub-region of Arizona in United States.,20.77,"Arizona, United States",No,4.0,155846,https://www.tourism.arizona.gov,https://www.google.com/maps/search/Arizona+United+States,Nature and Hiking,City Break,Family
State/Province,"Arkansas, United States",9034720,Cfa,3,September - November,The sub-region of Arkansas in United States.,21.81,"Arkansas, United States",No,3.9,390634,https://www.tourism.arkansas.gov,https://www.google.com/maps/search/Arkansas+United+States,Nature and Hiking,City Break,Family
State/Province,"California, United States",8191512,Cfa,3,September - November,The sub-region of California in United States.,24.34,"California, United States",No,4.5,256871,https://www.tourism.california.gov,https://www.google.com/maps/search/California+United+States,Nature and Hiking,City Break,Family
State/Province,"Colorado, United States",4654157,Cfa,3,September - November,The sub-region of Colorado in United States.,19.68,"Colorado, United States",No,3.8,151303,https://www.tourism.colorado.gov,https://www.google.com/maps/search/Colorado+United+States,Nature and Hiking,City Break,Family
State/Province,"Connecticut, United States",4132144,Cfa,3,September - November,The sub-region of Connecticut in United States.,20.73,"Connecticut, United States",No,4.2,86170,https://www.tourism.connecticut.gov,https://www.google.com/maps/search/Connecticut+United+States,Nature and Hiking,City Break,Family
State/Province,"Delaware, United States",8493771,Cfa,3,September - November,The sub-region of Delaware in United States.,18.93,"Delaware, United States",No,3.9,71421,https://www.tourism.delaware.gov,https://www.google.com/maps/search/Delaware+United+States,Nature and Hiking,City Break,Family
State/Province,"Florida, United States",3311434,Cfa,3,September - November,The sub-region of Florida in United States.,23.3,"Florida, United States",No,4.2,352050,https://www.tourism.florida.gov,https://www.google.com/maps/search/Florida+United+States,Nature and Hiking,City Break,Family
State/Province,"Georgia, United States",8641442,Cfa,3,September - November,The sub-region of Georgia in United States.,27.15,"Georgia, United States",No,4.8,453492,https://www.tourism.georgia.gov,https://www.google.com/maps/search/Georgia+United+States,Nature and Hiking,City Break,Family
State/Province,"Hawaii, United States",3738585,Cfa,3,September - November,The sub-region of Hawaii in United States.,24.32,"Hawaii, United States",No,4.3,451906,https://www.tourism.hawaii.gov,https://www.google.com/maps/search/Hawaii+United+States,Nature and Hiking,City Break,Family
State/Province,"Idaho, United States",7124873,Cfa,3,September - November,The sub-region of Idaho in United States.,20.71,"Idaho, United States",No,4.3,65385,https://www.tourism.idaho.gov,https://www.google.com/maps/search/Idaho+United+States,Nature and Hiking,City Break,Family
State/Province,"Illinois, United States",2121619,Cfa,3,September - November,The sub-region of Illinois in United States.,19.96,"Illinois, United States",No,3.8,178753,https://www.tourism.illinois.gov,https://www.google.com/maps/search/Illinois+United+States,Nature and Hiking,City Break,Family
State/Province,"Indiana, United States",8568120,Cfa,3,September - November,The sub-region of Indiana in United States.,21.09,"Indiana, United States",No,4.4,62174,https://www.tourism.indiana.gov,https://www.google.com/maps/search/Indiana+United+States,Nature and Hiking,City Break,Family
State/Province,"Iowa, United States",4618336,Cfa,3,September - November,The sub-region of Iowa in United States.,22.42,"Iowa, United States",No,4.3,163898,https://www.tourism.iowa.gov,https://www.google.com/maps/search/Iowa+United+States,Nature and Hiking,City Break,Family
State/Province,"Kansas, United States",7029500,Cfa,3,September - November,The sub-region of Kansas in United States.,22.72,"Kansas, United States",No,4.7,68142,https://www.tourism.kansas.gov,https://www.google.com/maps/search/Kansas+United+States,Nature and Hiking,City Break,Family
State/Province,"Kentucky, United States",7320586,Cfa,3,September - November,The sub-region of Kentucky in United States.,22.04,"Kentucky, United States",No,4.0,324377,https://www.tourism.kentucky.gov,https://www.google.com/maps/search/Kentucky+United+States,Nature and Hiking,City Break,Family
State/Province,"Louisiana, United States",8781159,Cfa,3,September - November,The sub-region of Louisiana in United States.,21.89,"Louisiana, United States",No,4.1,217866,https://www.tourism.louisiana.gov,https://www.google.com/maps/search/Louisiana+United+States,Nature and Hiking,City Break,Family
State/Province,"Maine, United States",9403731,Cfa,3,September - November,The sub-region of Maine in United States.,23.06,"Maine, United States",No,4.1,420189,https://www.tourism.maine.gov,https://www.google.com/maps/search/Maine+United+States,Nature and Hiking,City Break,Family
State/Province,"Maryland, United States",7042227,Cfa,3,September - November,The sub-region of Maryland in United States.,20.86,"Maryland, United States",No,3.8,309122,https://www.tourism.maryland.gov,https://www.google.com/maps/search/Maryland+United+States,Nature and Hiking,City Break,Family
State/Province,"Massachusetts, United States",5505662,Cfa,3,September - November,The sub-region of Massachusetts in United States.,22.8,"Massachusetts, United States",No,4.3,200115,https://www.tourism.massachusetts.gov,https://www.google.com/maps/search/Massachusetts+United+States,Nature and Hiking,City Break,Family
State/Province,"Michigan, United States",3085539,Cfa,3,September - November,The sub-region of Michigan in United States.,23.05,"Michigan, United States",No,4.3,229910,https://www.tourism.michigan.gov,https://www.google.com/maps/search/Michigan+United+States,Nature and Hiking,City Break,Family
State/Province,"Minnesota, United States",7402104,Cfa,3,September - November,The sub-region of Minnesota in United States.,25.82,"Minnesota, United States",No,4.7,311667,https://www.tourism.minnesota.gov,https://www.google.com/maps/search/Minnesota+United+States,Nature and Hiking,City Break,Family
State/Province,"Mississippi, United States",3762915,Cfa,3,September - November,The sub-region of Mississippi in United States.,24.4,"Mississippi, United States",No,4.4,350723,https://www.tourism.mississippi.gov,https://www.google.com/maps/search/Mississippi+United+States,Nature and Hiking,City Break,Family
State/Province,"Missouri, United States",3967984,Cfa,3,September - November,The sub-region of Missouri in United States.,25.93,"Missouri, United States",No,4.6,432531,https://www.tourism.missouri.gov,https://www.google.com/maps/search/Missouri+United+States,Nature and Hiking,City Break,Family
State/Province,"Montana, United States",8969915,Cfa,3,September - November,The sub-region of Montana in United States.,21.16,"Montana, United States",No,3.8,369511,https://www.tourism.montana.gov,https://www.google.com/maps/search/Montana+United+States,Nature and Hiking,City Break,Family
State/Province,"Nebraska, United States",7440579,Cfa,3,September - November,The sub-region of Nebraska in United States.,18.72,"Nebraska, United States",No,3.9,62993,https://www.tourism.nebraska.gov,https://www.google.com/maps/search/Nebraska+United+States,Nature and Hiking,City Break,Family
State/Province,"Nevada, United States",4776490,Cfa,3,September - November,The sub-region of Nevada in United States.,24.73,"Nevada, United States",No,4.4,417151,https://www.tourism.nevada.gov,https://www.google.com/maps/search/Nevada+United+States,Nature and Hiking,City Break,Family
State/Province,"New Hampshire, United States",3160705,Cfa,3,September - November,The sub-region of New Hampshire in United States.,23.27,"New Hampshire, United States",No,4.3,258112,https://www.tourism.newhampshire.gov,https://www.google.com/maps/search/New+Hampshire+United+States,Nature and Hiking,City Break,Family
State/Province,"New Jersey, United States",5427474,Cfa,3,September - November,The sub-region of New Jersey in United States.,23.64,"New Jersey, United States",No,4.3,315310,https://www.tourism.newjersey.gov,https://www.google.com/maps/search/New+Jersey+United+States,Nature and Hiking,City Break,Family
State/Province,"New Mexico, United States",6445597,Cfa,3,September - November,The sub-region of New Mexico in United States.,21.16,"New Mexico, United States",No,3.9,266699,https://www.tourism.newmexico.gov,https://www.google.com/maps/search/New+Mexico+United+States,Nature and Hiking,City Break,Family
State/Province,"New York, United States",7827686,Cfa,3,September - November,The sub-region of New York in United States.,18.1,"New York, United States",No,3.9,43831,https://www.tourism.newyork.gov,https://www.google.com/maps/search/New+York+United+States,Nature and Hiking,City Break,Family
State/Province,"North Carolina, United States",5792709,Cfa,3,September - November,The sub-region of North Carolina in United States.,21.99,"North Carolina, United States",No,4.0,314694,https://www.tourism.northcarolina.gov,https://www.google.com/maps/search/North+Carolina+United+States,Nature and Hiking,City Break,Family
State/Province,"North Dakota, United States",681408,Cfa,3,September - November,The sub-region of North Dakota in United States.,18.9,"North Dakota, United States",No,4.5,15872,https://www.tourism.northdakota.gov,https://www.google.com/maps/search/North+Dakota+United+States,Nature and Hiking,City Break,Family
State/Province,"Ohio, United States",2913739,Cfa,3,September - November,The sub-region of Ohio in United States.,25.75,"Ohio, United States",No,4.6,396063,https://www.tourism.ohio.gov,https://www.google.com/maps/search/Ohio+United+States,Nature and Hiking,City Break,Family
State/Province,"Oklahoma, United States",6537251,Cfa,3,September - November,The sub-region of Oklahoma in United States.,19.89,"Oklahoma, United States",No,4.6,21114,https://www.tourism.oklahoma.gov,https://www.google.com/maps/search/Oklahoma+United+States,Nature and Hiking,City Break,Family
State/Province,"Oregon, United States",5722427,Cfa,3,September - November,The sub-region of Oregon in United States.,25.93,"Oregon, United States",No,4.6,434421,https://www.tourism.oregon.gov,https://www.google.com/maps/search/Oregon+United+States,Nature and Hiking,City Break,Family
State/Province,"Pennsylvania, United States",4446065,Cfa,3,September - November,The sub-region of Pennsylvania in United States.,21.48,"Pennsylvania, United States",No,4.2,130380,https://www.tourism.pennsylvania.gov,https://www.google.com/maps/search/Pennsylvania+United+States,Nature and Hiking,City Break,Family
State/Province,"Rhode Island, United States",5507788,Cfa,3,September - November,The sub-region of Rhode Island in United States.,22.95,"Rhode Island, United States",No,4.2,291033,https://www.tourism.rhodeisland.gov,https://www.google.com/maps/search/Rhode+Island+United+States,Nature and Hiking,City Break,Family
State/Province,"South Carolina, United States",332294,Cfa,3,September - November,The sub-region of South Carolina in United States.,25.1,"South Carolina, United States",No,4.6,285820,https://www.tourism.southcarolina.gov,https://www.google.com/maps/search/South+Carolina+United+States,Nature and Hiking,City Break,Family
State/Province,"South Dakota, United States",2094128,Cfa,3,September - November,The sub-region of South Dakota in United States.,22.09,"South Dakota, United States",No,3.9,461325,https://www.tourism.southdakota.gov,https://www.google.com/maps/search/South+Dakota+United+States,Nature and Hiking,City Break,Family
State/Province,"Tennessee, United States",8441843,Cfa,3,September - November,The sub-region of Tennessee in United States.,25.59,"Tennessee, United States",No,4.5,485639,https://www.tourism.tennessee.gov,https://www.google.com/maps/search/Tennessee+United+States,Nature and Hiking,City Break,Family
State/Province,"Texas, United States",2508331,Cfa,3,September - November,The sub-region of Texas in United States.,23.35,"Texas, United States",No,4.1,495433,https://www.tourism.texas.gov,https://www.google.com/maps/search/Texas+United+States,Nature and Hiking,City Break,Family
State/Province,"Utah, United States",4516458,Cfa,3,September - November,The sub-region of Utah in United States.,25.62,"Utah, United States",No,4.6,370341,https://www.tourism.utah.gov,https://www.google.com/maps/search/Utah+United+States,Nature and Hiking,City Break,Family
State/Province,"Vermont, United States",5750618,Cfa,3,September - November,The sub-region of Vermont in United States.,17.88,"Vermont, United States",No,3.8,50846,https://www.tourism.vermont.gov,https://www.google.com/maps/search/Vermont+United+States,Nature and Hiking,City Break,Family
State/Province,"Virginia, United States",4260733,Cfa,3,September - November,The sub-region of Virginia in United States.,22.26,"Virginia, United States",No,4.0,368002,https://www.tourism.virginia.gov,https://www.google.com/maps/search/Virginia+United+States,Nature and Hiking,City Break,Family
State/Province,"Washington, United States",5922860,Cfa,3,September - November,The sub-region of Washington in United States.,19.07,"Washington, United States",No,4.1,44906,https://www.tourism.washington.gov,https://www.google.com/maps/search/Washington+United+States,Nature and Hiking,City Break,Family
State/Province,"West Virginia, United States",2242943,Cfa,3,September - November,The sub-region of West Virginia in United States.,20.87,"West Virginia, United States",No,4.6,34504,https://www.tourism.westvirginia.gov,https://www.google.com/maps/search/West+Virginia+United+States,Nature and Hiking,City Break,Family
State/Province,"Wisconsin, United States",2527411,Cfa,3,September - November,The sub-region of Wisconsin in United States.,22.67,"Wisconsin, United States",No,4.2,249859,https://www.tourism.wisconsin.gov,https://www.google.com/maps/search/Wisconsin+United+States,Nature and Hiking,City Break,Family
State/Province,"Wyoming, United States",8959044,Cfa,3,September - November,The sub-region of Wyoming in United States.,23.83,"Wyoming, United States",No,4.4,260016,https://www.tourism.wyoming.gov,https://www.google.com/maps/search/Wyoming+United+States,Nature and Hiking,City Break,Family
Country,South Africa,54355654,BSk,2,April - June,The sovereign state of South Africa.,27.86,South Africa,Yes,4.7,845715,https://www.visitsouthafrica.com,https://www.google.com/maps/search/South+Africa,Culture & Museums,Food & Wine,Adventure
