"Destination English Name","Country","State/Provence","Nearest City","Destination Official Name"
"Aktau","Kazakhstan","","Aktau","Aktau"
"Koktshetau","Kazakhstan","","Koktshetau","Koktshetau"
"Ekibastuz","Kazakhstan","","Ekibastuz","Ekibastuz"
"Taldykorgan","Kazakhstan","","Taldykorgan","Taldykorgan"
"Rudni","Kazakhstan","","Rudni","Rudni"
"Aksay","Kazakhstan","","Aksay","Aksay"
"Aksoran","Kazakhstan","","Aksoran","Aksoran"
"Aqtas","Kazakhstan","","Aqtas","Aqtas"
"Aqtau","Kazakhstan","","Aqtau","Aqtau"
"Atyrau","Kazakhstan","","Atyrau","Atyrau"
"Baikonur","Kazakhstan","","Baikonur","Baikonur"
"Dostyk","Kazakhstan","","Dostyk","Dostyk"
"Dzhezkazgan","Kazakhstan","","Dzhezkazgan","Dzhezkazgan"
"Esil","Kazakhstan","","Esil","Esil"
"Karagandy","Kazakhstan","","Karagandy","Karagandy"
"Kazakh","Kazakhstan","","Kazakh","Kazakh"
"Kentau","Kazakhstan","","Kentau","Kentau"
"Koktem","Kazakhstan","","Koktem","Koktem"
"Kostanay","Kazakhstan","","Kostanay","Kostanay"
"Kyzyl","Kazakhstan","","Kyzyl","Kyzyl"
"Lomonosovka","Kazakhstan","","Lomonosovka","Lomonosovka"
"Oral","Kazakhstan","","Oral","Oral"
"Petropavl","Kazakhstan","","Petropavl","Petropavl"
"Qaskeleng","Kazakhstan","","Qaskeleng","Qaskeleng"
"Ridder","Kazakhstan","","Ridder","Ridder"
"Rudnyy","Kazakhstan","","Rudnyy","Rudnyy"
"Semey","Kazakhstan","","Semey","Semey"
"Serebryansk","Kazakhstan","","Serebryansk","Serebryansk"
"Shymkent","Kazakhstan","","Shymkent","Shymkent"
"NAIROBI","Kenya","","NAIROBI","NAIROBI"
"Mombasa","Kenya","","Mombasa","Mombasa"
"Nakuru","Kenya","","Nakuru","Nakuru"
"Kisumu","Kenya","","Kisumu","Kisumu"
"Eldoret","Kenya","","Eldoret","Eldoret"
"Ruiru","Kenya","","Ruiru","Ruiru"
"Kikuyu","Kenya","","Kikuyu","Kikuyu"
"Thika","Kenya","","Thika","Thika"
"Mavoko/AthiRiver","Kenya","","Mavoko/AthiRiver","Mavoko/AthiRiver"
"Garissa","Kenya","","Garissa","Garissa"
"Ngong","Kenya","","Ngong","Ngong"
"Bondo","Kenya","","Bondo","Bondo"
"Chuka","Kenya","","Chuka","Chuka"
"Kabete","Kenya","","Kabete","Kabete"
"Kaiboi","Kenya","","Kaiboi","Kaiboi"
"Karatina","Kenya","","Karatina","Karatina"
"Kiambu","Kenya","","Kiambu","Kiambu"
"Kisii","Kenya","","Kisii","Kisii"
"Kitale","Kenya","","Kitale","Kitale"
"Kitui","Kenya","","Kitui","Kitui"
"Machakos","Kenya","","Machakos","Machakos"
"Maseno","Kenya","","Maseno","Maseno"
"Mbita","Kenya","","Mbita","Mbita"
"Sawa Sawa","Kenya","","Sawa Sawa","Sawa Sawa"
"Siaya","Kenya","","Siaya","Siaya"
"Turbo","Kenya","","Turbo","Turbo"
"Wote","Kenya","","Wote","Wote"
"Baringo","Kenya","","Baringo","Baringo"
"Eldama Ravine","Kenya","","Eldama Ravine","Eldama Ravine"
"Kabarnet","Kenya","","Kabarnet","Kabarnet"
"Sotik","Kenya","","Sotik","Sotik"
"Sotik Post","Kenya","","Sotik Post","Sotik Post"
"Bungoma","Kenya","","Bungoma","Bungoma"
"Malikisi","Kenya","","Malikisi","Malikisi"
"South Tarawa","Kiribati","","South Tarawa","TARAWA"
"Abaiang","Kiribati","","Abaiang","Abaiang"
"Abemama","Kiribati","","Abemama","Abemama"
"Dunavo","Kosovo","","Dunavo","Dunavo"
"Ferizaj","Kosovo","","Ferizaj","Ferizaj"
"Mitrovica","Kosovo","","Mitrovica","Mitrovica"
"Pristina","Kosovo","","Pristina","Pristina"
"Salmiya","Kuwait","","Salmiya","Salmiya"
"Jaleeb Al-Shuykh","Kuwait","","Jaleeb Al-Shuykh","Jaleeb Al-Shuykh"
"KUWAIT CITY","Kuwait","","KUWAIT CITY","KUWAIT CITY"
"Abraq Khaytan","Kuwait","","Abraq Khaytan","Abraq Khaytan"
"Ad Dasmah","Kuwait","","Ad Dasmah","Ad Dasmah"
"Ad Dawhah","Kuwait","","Ad Dawhah","Ad Dawhah"
"Al Ahmadi","Kuwait","","Al Ahmadi","Al Ahmadi"
"Al Farwaniyah","Kuwait","","Al Farwaniyah","Al Farwaniyah"
"Al Shamiya","Kuwait","","Al Shamiya","Al Shamiya"
"Ar Rawdah","Kuwait","","Ar Rawdah","Ar Rawdah"
"As Salimiyah","Kuwait","","As Salimiyah","As Salimiyah"
"Ash Shu`aybah","Kuwait","","Ash Shu`aybah","Ash Shu`aybah"
"Ash Shuwaykh","Kuwait","","Ash Shuwaykh","Ash Shuwaykh"
"Bayan","Kuwait","","Bayan","Bayan"
"Hawalli","Kuwait","","Hawalli","Hawalli"
"Janub as Surrah","Kuwait","","Janub as Surrah","Janub as Surrah"
"Kayfan","Kuwait","","Kayfan","Kayfan"
"BISHKEK","Kyrgyzstan","","BISHKEK","BISHKEK"
"Osh","Kyrgyzstan","","Osh","Osh"
"Batken Oblasty","Kyrgyzstan","","Batken Oblasty","Batken Oblasty"
"Bishkek Shaary","Kyrgyzstan","","Bishkek Shaary","Bishkek Shaary"
"Chuy Oblasty","Kyrgyzstan","","Chuy Oblasty","Chuy Oblasty"
"Jalal-Abad Oblasty","Kyrgyzstan","","Jalal-Abad Oblasty","Jalal-Abad Oblasty"
"Naryn Oblasty","Kyrgyzstan","","Naryn Oblasty","Naryn Oblasty"
"Osh Oblasty","Kyrgyzstan","","Osh Oblasty","Osh Oblasty"
"Talas Oblasty","Kyrgyzstan","","Talas Oblasty","Talas Oblasty"
"Ysyk-Kol Oblasty","Kyrgyzstan","","Ysyk-Kol Oblasty","Ysyk-Kol Oblasty"
"Aydarken","Kyrgyzstan","","Aydarken","Aydarken"
"Batken","Kyrgyzstan","","Batken","Batken"
"Iradan","Kyrgyzstan","","Iradan","Iradan"
"Isfana","Kyrgyzstan","","Isfana","Isfana"
"Karavan","Kyrgyzstan","","Karavan","Karavan"
"Kyzyl-Kyya","Kyrgyzstan","","Kyzyl-Kyya","Kyzyl-Kyya"
"Suluktu","Kyrgyzstan","","Suluktu","Suluktu"
"Alamudunskiy Rayon","Kyrgyzstan","","Alamudunskiy Rayon","Alamudunskiy Rayon"
"Belovodskoye","Kyrgyzstan","","Belovodskoye","Belovodskoye"
"Chuyskiy Rayon","Kyrgyzstan","","Chuyskiy Rayon","Chuyskiy Rayon"
"Ivanovka","Kyrgyzstan","","Ivanovka","Ivanovka"
"Kaindy","Kyrgyzstan","","Kaindy","Kaindy"
"Kant","Kyrgyzstan","","Kant","Kant"
"Kara-Balta","Kyrgyzstan","","Kara-Balta","Kara-Balta"
"Kemin","Kyrgyzstan","","Kemin","Kemin"
"Lebedinovka","Kyrgyzstan","","Lebedinovka","Lebedinovka"
"Sokulukskiy Rayon","Kyrgyzstan","","Sokulukskiy Rayon","Sokulukskiy Rayon"
"Sosnovka","Kyrgyzstan","","Sosnovka","Sosnovka"
"Tokmok","Kyrgyzstan","","Tokmok","Tokmok"
"Ysyk-Ata","Kyrgyzstan","","Ysyk-Ata","Ysyk-Ata"
"Ak-Suu","Kyrgyzstan","","Ak-Suu","Ak-Suu"
"Balykchy","Kyrgyzstan","","Balykchy","Balykchy"
"Cholpon-Ata","Kyrgyzstan","","Cholpon-Ata","Cholpon-Ata"
"Kadzhi-Say","Kyrgyzstan","","Kadzhi-Say","Kadzhi-Say"
"Attapu","Laos","","Attapu","Attapu"
"Bokeo","Laos","","Bokeo","Bokeo"
"Bolikhamxai","Laos","","Bolikhamxai","Bolikhamxai"
"Champasak","Laos","","Champasak","Champasak"
"Houaphan","Laos","","Houaphan","Houaphan"
"Khammouan","Laos","","Khammouan","Khammouan"
"Louangnamtha","Laos","","Louangnamtha","Louangnamtha"
"Louangphrabang","Laos","","Louangphrabang","Louangphrabang"
"Oudomxai","Laos","","Oudomxai","Oudomxai"
"Phongsali","Laos","","Phongsali","Phongsali"
"Salavan","Laos","","Salavan","Salavan"
"Savannakhet","Laos","","Savannakhet","Savannakhet"
"Viangchan","Laos","","Viangchan","Viangchan"
"Xaignabouli","Laos","","Xaignabouli","Xaignabouli"
"Xaisomboun","Laos","","Xaisomboun","Xaisomboun"
"Xekong","Laos","","Xekong","Xekong"
"Xiangkhoang","Laos","","Xiangkhoang","Xiangkhoang"
"Attapeu","Laos","","Attapeu","Attapeu"
"Muang Phouvong","Laos","","Muang Phouvong","Muang Phouvong"
"Muang Samakhixai","Laos","","Muang Samakhixai","Muang Samakhixai"
"RIGA","Latvia","","RIGA","RIGA"
"Daugavpils","Latvia","","Daugavpils","Daugavpils"
"Adazi","Latvia","","Adazi","Adazi"
"Agenskalns","Latvia","","Agenskalns","Agenskalns"
"Aizkraukle","Latvia","","Aizkraukle","Aizkraukle"
"Aizpute","Latvia","","Aizpute","Aizpute"
"Baldone","Latvia","","Baldone","Baldone"
"Balvi","Latvia","","Balvi","Balvi"
"Bauska","Latvia","","Bauska","Bauska"
"Brankas","Latvia","","Brankas","Brankas"
"Carnikava","Latvia","","Carnikava","Carnikava"
"Centrs","Latvia","","Centrs","Centrs"
"Dobele","Latvia","","Dobele","Dobele"
"Durbe","Latvia","","Durbe","Durbe"
"Gulbene","Latvia","","Gulbene","Gulbene"
"Ilguciems","Latvia","","Ilguciems","Ilguciems"
"Izvalta","Latvia","","Izvalta","Izvalta"
"Jaunolaine","Latvia","","Jaunolaine","Jaunolaine"
"Jelgava","Latvia","","Jelgava","Jelgava"
"Kandava","Latvia","","Kandava","Kandava"
"Beirut","Lebanon","","Beirut","BEIRUT"
"Tripoli","Lebanon","","Tripoli","Tripoli"
"Aaley","Lebanon","","Aaley","Aaley"
"Adma","Lebanon","","Adma","Adma"
"Ashrafiye","Lebanon","","Ashrafiye","Ashrafiye"
"Baabda","Lebanon","","Baabda","Baabda"
"Baalbek","Lebanon","","Baalbek","Baalbek"
"Broummana","Lebanon","","Broummana","Broummana"
"Bsalim","Lebanon","","Bsalim","Bsalim"
"Chekka","Lebanon","","Chekka","Chekka"
"Dbaiye","Lebanon","","Dbaiye","Dbaiye"
"Dik el Mehdi","Lebanon","","Dik el Mehdi","Dik el Mehdi"
"Halba","Lebanon","","Halba","Halba"
"Hboub","Lebanon","","Hboub","Hboub"
"Sarba","Lebanon","","Sarba","Sarba"
"Sidon","Lebanon","","Sidon","Sidon"
"MASERU","Lesotho","","MASERU","MASERU"
"Berea","Lesotho","","Berea","Berea"
"Butha-Buthe","Lesotho","","Butha-Buthe","Butha-Buthe"
"Leribe","Lesotho","","Leribe","Leribe"
"Mafeteng","Lesotho","","Mafeteng","Mafeteng"
"Mohale's Hoek","Lesotho","","Mohale's Hoek","Mohale's Hoek"
"Mokhotlong","Lesotho","","Mokhotlong","Mokhotlong"
"Qacha's Nek","Lesotho","","Qacha's Nek","Qacha's Nek"
"Quthing","Lesotho","","Quthing","Quthing"
"Thaba-Tseka","Lesotho","","Thaba-Tseka","Thaba-Tseka"
"Teyateyaneng","Lesotho","","Teyateyaneng","Teyateyaneng"
"Maputsoe","Lesotho","","Maputsoe","Maputsoe"
"Nako","Lesotho","","Nako","Nako"
"MONROVIA","Liberia","","MONROVIA","MONROVIA"
"Bomi","Liberia","","Bomi","Bomi"
"Bong","Liberia","","Bong","Bong"
"Gbarpolu","Liberia","","Gbarpolu","Gbarpolu"
"Grand Bassa County","Liberia","","Grand Bassa County","Grand Bassa"
"Grand Cape Mount","Liberia","","Grand Cape Mount","Grand Cape Mount"
"Grand Gedeh","Liberia","","Grand Gedeh","Grand Gedeh"
"Grand Kru","Liberia","","Grand Kru","Grand Kru"
"Lofa","Liberia","","Lofa","Lofa"
"Margibi","Liberia","","Margibi","Margibi"
"Benghazi","Libya","","Benghazi","Benghazi"
"Misratah","Libya","","Misratah","Misratah"
"Sabha","Libya","","Sabha","Sabha"
"Tripoli","Libya","","Tripoli","Tripoli"
"Zliten","Libya","","Zliten","Zliten"
"Ajdabiya","Libya","","Ajdabiya","Ajdabiya"
"Al Burayqah","Libya","","Al Burayqah","Al Burayqah"
"Awjilah","Libya","","Awjilah","Awjilah"
"Az Zuwaytīnah","Libya","","Az Zuwaytīnah","Az Zuwaytīnah"
"Gialo","Libya","","Gialo","Gialo"
"Marādah","Libya","","Marādah","Marādah"
"Qaryat Sulūq","Libya","","Qaryat Sulūq","Qaryat Sulūq"
"Al Qubbah","Libya","","Al Qubbah","Al Qubbah"
"Darnah","Libya","","Darnah","Darnah"
"Ghat","Libya","","Ghat","Ghat"
"Al Bayḑā’","Libya","","Al Bayḑā’","Al Bayḑā’"
"Gharyan","Libya","","Gharyan","Gharyan"
"Giado","Libya","","Giado","Giado"
"Mizdah","Libya","","Mizdah","Mizdah"
"Yafran","Libya","","Yafran","Yafran"
"Zintan","Libya","","Zintan","Zintan"
"Al ‘Azīzīyah","Libya","","Al ‘Azīzīyah","Al ‘Azīzīyah"
"Hūn","Libya","","Hūn","Hūn"
"Waddān","Libya","","Waddān","Waddān"
"Al Jawf","Libya","","Al Jawf","Al Jawf"
"At Tāj","Libya","","At Tāj","At Tāj"
"Al Abyār","Libya","","Al Abyār","Al Abyār"
"Al Marj","Libya","","Al Marj","Al Marj"
"Tūkrah","Libya","","Tūkrah","Tūkrah"
"Bani Walid","Libya","","Bani Walid","Bani Walid"
"Mişrātah","Libya","","Mişrātah","Mişrātah"
"Al Khums","Libya","","Al Khums","Al Khums"
"Masallātah","Libya","","Masallātah","Masallātah"
"VADUZ","Liechtenstein","","VADUZ","VADUZ"
"Balzers","Liechtenstein","","Balzers","Balzers"
"Bendern","Liechtenstein","","Bendern","Bendern"
"VILNIUS","Lithuania","","VILNIUS","VILNIUS"
"Kaunas","Lithuania","","Kaunas","Kaunas"
"Klaipeda","Lithuania","","Klaipeda","Klaipeda"
"Shauliai","Lithuania","","Shauliai","Shauliai"
"Panevezhis","Lithuania","","Panevezhis","Panevezhis"
"Alytus","Lithuania","","Alytus","Alytus"
"Anciskiai","Lithuania","","Anciskiai","Anciskiai"
"Antakalnis","Lithuania","","Antakalnis","Antakalnis"
"Garliava","Lithuania","","Garliava","Garliava"
"Ignalina","Lithuania","","Ignalina","Ignalina"
"Jonava","Lithuania","","Jonava","Jonava"
"Jurbarkas","Lithuania","","Jurbarkas","Jurbarkas"
"Juskonys","Lithuania","","Juskonys","Juskonys"
"Kretinga","Lithuania","","Kretinga","Kretinga"
"Mastaiciai","Lithuania","","Mastaiciai","Mastaiciai"
"Palanga","Lithuania","","Palanga","Palanga"
"Panevezys","Lithuania","","Panevezys","Panevezys"
"Sakiai","Lithuania","","Sakiai","Sakiai"
"Salcininkai","Lithuania","","Salcininkai","Salcininkai"
"Luxembourg","Luxembourg","","Luxembourg","LUXEMBOURG-VILLE"
"Ahn","Luxembourg","","Ahn","Ahn"
"Alzingen","Luxembourg","","Alzingen","Alzingen"
"Bascharage","Luxembourg","","Bascharage","Bascharage"
"Beaufort","Luxembourg","","Beaufort","Beaufort"
"Beckerich","Luxembourg","","Beckerich","Beckerich"
"Beggen","Luxembourg","","Beggen","Beggen"
"Beidweiler","Luxembourg","","Beidweiler","Beidweiler"
"Aomen","Macau","","Aomen","Aomen"
"Aumwnz","Macau","","Aumwnz","Aumwnz"
"Bán đảo Ma Cao","Macau","","Bán đảo Ma Cao","Bán đảo Ma Cao"
"Cheoc Ca Chün","Macau","","Cheoc Ca Chün","Cheoc Ca Chün"
"Cidade de Macau","Macau","","Cidade de Macau","Cidade de Macau"
"Cidade do Santo Nome de Deus de Macau","Macau","","Cidade do Santo Nome de Deus de Macau","Cidade do Santo Nome de Deus de Macau"
"Coloane","Macau","","Coloane","Coloane"
"Dangzai","Macau","","Dangzai","Dangzai"
"Hac Sa","Macau","","Hac Sa","Hac Sa"
"Hac-Tsa","Macau","","Hac-Tsa","Hac-Tsa"
"Heisha","Macau","","Heisha","Heisha"
"Ilha da Taipa","Macau","","Ilha da Taipa","Ilha da Taipa"
"Jiu’ao","Macau","","Jiu’ao","Jiu’ao"
"Ká Hó","Macau","","Ká Hó","Ká Hó"
"Lai Chi Van","Macau","","Lai Chi Van","Lai Chi Van"
"Lin-chia-ts'un","Macau","","Lin-chia-ts'un","Lin-chia-ts'un"
"Lizhiwan","Macau","","Lizhiwan","Lizhiwan"
"Luhuan","Macau","","Luhuan","Luhuan"
"Lui-Tchi-Van","Macau","","Lui-Tchi-Van","Lui-Tchi-Van"
"Macao Peninsula","Macau","","Macao Peninsula","Macao Peninsula"
"ANTANANARIVO","Madagascar","","ANTANANARIVO","ANTANANARIVO"
"Toamasina","Madagascar","","Toamasina","Toamasina"
"Antsirabe","Madagascar","","Antsirabe","Antsirabe"
"Fianarantsoa","Madagascar","","Fianarantsoa","Fianarantsoa"
"Mahajanga","Madagascar","","Mahajanga","Mahajanga"
"Ambanja","Madagascar","","Ambanja","Ambanja"
"Antsiranana","Madagascar","","Antsiranana","Antsiranana"
"Toliara","Madagascar","","Toliara","Toliara"
"Ampasimanolotra","Madagascar","","Ampasimanolotra","Ampasimanolotra"
"Andovoranto","Madagascar","","Andovoranto","Andovoranto"
"Mahanoro","Madagascar","","Mahanoro","Mahanoro"
"Mahavelona","Madagascar","","Mahavelona","Mahavelona"
"Marolambo","Madagascar","","Marolambo","Marolambo"
"Toamasina I","Madagascar","","Toamasina I","Toamasina I"
"Toamasina II","Madagascar","","Toamasina II","Toamasina II"
"Vohibinany","Madagascar","","Vohibinany","Vohibinany"
"LILONGWE","Malawi","","LILONGWE","LILONGWE"
"Blantyre City","Malawi","","Blantyre City","Blantyre City"
"Balaka","Malawi","","Balaka","Balaka"
"Blantyre","Malawi","","Blantyre","Blantyre"
"Chikwawa","Malawi","","Chikwawa","Chikwawa"
"Chiradzulu","Malawi","","Chiradzulu","Chiradzulu"
"Chitipa","Malawi","","Chitipa","Chitipa"
"Dedza","Malawi","","Dedza","Dedza"
"Dowa","Malawi","","Dowa","Dowa"
"Karonga","Malawi","","Karonga","Karonga"
"Kasungu","Malawi","","Kasungu","Kasungu"
"Likoma","Malawi","","Likoma","Likoma"
"Machinga","Malawi","","Machinga","Machinga"
"Mangochi","Malawi","","Mangochi","Mangochi"
"Mchinji","Malawi","","Mchinji","Mchinji"
"Mulanje","Malawi","","Mulanje","Mulanje"
"Mwanza","Malawi","","Mwanza","Mwanza"
"Mzimba","Malawi","","Mzimba","Mzimba"
"Ntcheu","Malawi","","Ntcheu","Ntcheu"
"Nkhata Bay","Malawi","","Nkhata Bay","Nkhata Bay"
"KUALA LUMPUR","Malaysia","","KUALA LUMPUR","KUALA LUMPUR"
"MB Ipoh","Malaysia","","MB Ipoh","MB Ipoh"
"MB Johor Bahru","Malaysia","","MB Johor Bahru","MB Johor Bahru"
"Kuantan","Malaysia","","Kuantan","Kuantan"
"Subang Jaya","Malaysia","","Subang Jaya","Subang Jaya"
"Seremban","Malaysia","","Seremban","Seremban"
"Kuala Terengganu","Malaysia","","Kuala Terengganu","Kuala Terengganu"
"Klang","Malaysia","","Klang","Klang"
"MP Kota Bharu","Malaysia","","MP Kota Bharu","MP Kota Bharu"
"Taiping","Malaysia","","Taiping","Taiping"
"Kota Kinabalu","Malaysia","","Kota Kinabalu","Kota Kinabalu"
"Georgetown","Malaysia","","Georgetown","Georgetown"
"Petaling Jaya","Malaysia","","Petaling Jaya","Petaling Jaya"
"Shah Alam","Malaysia","","Shah Alam","Shah Alam"
"Sungai Petani","Malaysia","","Sungai Petani","Sungai Petani"
"Sibu","Malaysia","","Sibu","Sibu"
"Sandakan","Malaysia","","Sandakan","Sandakan"
"Seleyang Baru","Malaysia","","Seleyang Baru","Seleyang Baru"
"Kuching","Malaysia","","Kuching","Kuching"
"Miri","Malaysia","","Miri","Miri"
"Alor Setar","Malaysia","","Alor Setar","Alor Setar"
"Bintulu","Malaysia","","Bintulu","Bintulu"
"Tawau","Malaysia","","Tawau","Tawau"
"Kajang dan Sungai Chua","Malaysia","","Kajang dan Sungai Chua","Kajang dan Sungai Chua"
"Ampang/Ulu Kelang","Malaysia","","Ampang/Ulu Kelang","Ampang/Ulu Kelang"
"Bandar Penggaram","Malaysia","","Bandar Penggaram","Bandar Penggaram"
"Butterworth","Malaysia","","Butterworth","Butterworth"
"Ampang","Malaysia","","Ampang","Ampang"
"Melaka","Malaysia","","Melaka","Melaka"
"Bandar Maharani","Malaysia","","Bandar Maharani","Bandar Maharani"
"Kluang","Malaysia","","Kluang","Kluang"
"Pasir Gudang","Malaysia","","Pasir Gudang","Pasir Gudang"
"Kulim","Malaysia","","Kulim","Kulim"
"Lahad Datu","Malaysia","","Lahad Datu","Lahad Datu"
"MALÉ","Maldives","","MALÉ","MALÉ"
"Alifu","Maldives","","Alifu","Alifu"
"Baa","Maldives","","Baa","Baa"
"Dhaalu","Maldives","","Dhaalu","Dhaalu"
"Faafu","Maldives","","Faafu","Faafu"
"Gaafu Alifu","Maldives","","Gaafu Alifu","Gaafu Alifu"
"Gaafu Dhaalu","Maldives","","Gaafu Dhaalu","Gaafu Dhaalu"
"Gnaviyani","Maldives","","Gnaviyani","Gnaviyani"
"Bamako (Capital)","Mali","","Bamako (Capital)","Bamako (Capital)"
"Gao","Mali","","Gao","Gao"
"Kayes","Mali","","Kayes","Kayes"
"Kidal","Mali","","Kidal","Kidal"
"Koulikoro","Mali","","Koulikoro","Koulikoro"
"Mopti","Mali","","Mopti","Mopti"
"Segou","Mali","","Segou","Segou"
"Sikasso","Mali","","Sikasso","Sikasso"
"Tombouctou","Mali","","Tombouctou","Tombouctou"
"Bamako","Mali","","Bamako","Bamako"
"Ansongo","Mali","","Ansongo","Ansongo"
"Cercle de Bourem","Mali","","Cercle de Bourem","Cercle de Bourem"
"Gao Cercle","Mali","","Gao Cercle","Gao Cercle"
"Inékar","Mali","","Inékar","Inékar"
"Bafoulabé","Mali","","Bafoulabé","Bafoulabé"
"Kita","Mali","","Kita","Kita"
"Kokofata","Mali","","Kokofata","Kokofata"
"Sagalo","Mali","","Sagalo","Sagalo"
"Abeïbara","Mali","","Abeïbara","Abeïbara"
"Cercle d’Abeïbara","Mali","","Cercle d’Abeïbara","Cercle d’Abeïbara"
"Banamba","Mali","","Banamba","Banamba"
"Kangaba","Mali","","Kangaba","Kangaba"
"Kati","Mali","","Kati","Kati"
"Kolokani","Mali","","Kolokani","Kolokani"
"Bandiagara","Mali","","Bandiagara","Bandiagara"
"Djénné","Mali","","Djénné","Djénné"
"Douentza","Mali","","Douentza","Douentza"
"Douentza Cercle","Mali","","Douentza Cercle","Douentza Cercle"
"Ténenkou","Mali","","Ténenkou","Ténenkou"
"VALLETTA","Malta","","VALLETTA","VALLETTA"
"Attard","Malta","","Attard","Attard"
"Balzan","Malta","","Balzan","Balzan"
"Bingemma","Malta","","Bingemma","Bingemma"
"Birgu","Malta","","Birgu","Birgu"
"Birkirkara","Malta","","Birkirkara","Birkirkara"
"Bugibba","Malta","","Bugibba","Bugibba"
"Cospicua","Malta","","Cospicua","Cospicua"
"Dingli","Malta","","Dingli","Dingli"
"MAJURO","Marshall Islands","","MAJURO","MAJURO"
"Ebaye","Marshall Islands","","Ebaye","Ebaye"
"FORT-DE-FRANCE","Martinique","","FORT-DE-FRANCE","FORT-DE-FRANCE"
"Case-Pilote","Martinique","","Case-Pilote","Case-Pilote"
"NOUAKCHOTT","Mauritania","","NOUAKCHOTT","NOUAKCHOTT"
"Adrar","Mauritania","","Adrar","Adrar"
"Assaba","Mauritania","","Assaba","Assaba"
"Brakna","Mauritania","","Brakna","Brakna"
"Dakhlet Nouadhibou","Mauritania","","Dakhlet Nouadhibou","Dakhlet Nouadhibou"
"Gorgol","Mauritania","","Gorgol","Gorgol"
"Guidimaka","Mauritania","","Guidimaka","Guidimaka"
"Hodh Ech Chargui","Mauritania","","Hodh Ech Chargui","Hodh Ech Chargui"
"Hodh El Gharbi","Mauritania","","Hodh El Gharbi","Hodh El Gharbi"
"Inchiri","Mauritania","","Inchiri","Inchiri"
"Tagant","Mauritania","","Tagant","Tagant"
"Tiris Zemmour","Mauritania","","Tiris Zemmour","Tiris Zemmour"
"Trarza","Mauritania","","Trarza","Trarza"
"Atar","Mauritania","","Atar","Atar"
"Chingueṭṭi","Mauritania","","Chingueṭṭi","Chingueṭṭi"
"Barkéwol","Mauritania","","Barkéwol","Barkéwol"
"Kiffa","Mauritania","","Kiffa","Kiffa"
"’Elb el Jmel","Mauritania","","’Elb el Jmel","’Elb el Jmel"
"Aleg","Mauritania","","Aleg","Aleg"
"Nouadhibou","Mauritania","","Nouadhibou","Nouadhibou"
"Kaédi","Mauritania","","Kaédi","Kaédi"
"Sélibaby","Mauritania","","Sélibaby","Sélibaby"
"PORT LOUIS","Mauritius","","PORT LOUIS","PORT LOUIS"
"Vacoas - Phoenix","Mauritius","","Vacoas - Phoenix","Vacoas - Phoenix"
"Beau Bassin - Rose Hill","Mauritius","","Beau Bassin - Rose Hill","Beau Bassin - Rose Hill"
"Beau Bassin","Mauritius","","Beau Bassin","Beau Bassin"
"Chemin Grenier","Mauritius","","Chemin Grenier","Chemin Grenier"
"Ebene CyberCity","Mauritius","","Ebene CyberCity","Ebene CyberCity"
"Floreal","Mauritius","","Floreal","Floreal"
"Bandaboa","Mayotte","","Bandaboa","Bandaboa"
"Chiconi","Mayotte","","Chiconi","Chiconi"
"Mexico City","Mexico","Mexico City","Mexico City","Mexico City"
"Cancun","Mexico","Quintana Roo","Cancun","Cancun"
"Playa del Carmen","Mexico","Quintana Roo","Playa del Carmen","Playa del Carmen"
"Tulum","Mexico","Quintana Roo","Tulum","Tulum"
"Chichen Itza","Mexico","Yucatan","Valladolid","Chichen Itza"
"Oaxaca","Mexico","Oaxaca","Oaxaca","Oaxaca"
"Puerto Vallarta","Mexico","Jalisco","Puerto Vallarta","Puerto Vallarta"
"Guadalajara","Mexico","Jalisco","Guadalajara","Guadalajara"
"Los Cabos","Mexico","Baja California Sur","Cabo San Lucas","Los Cabos"
"San Miguel de Allende","Mexico","Guanajuato","San Miguel de Allende","San Miguel de Allende"
"MEXICO, CIUDAD DE","Mexico","","MEXICO, CIUDAD DE","MEXICO, CIUDAD DE"
"Ecatepec","Mexico","de Morelos","Ecatepec","Ecatepec"
"Puebla de Zaragoza","Mexico","","Puebla de Zaragoza","Puebla de Zaragoza"
"Juárez","Mexico","","Juárez","Juárez"
"Tijuana","Mexico","","Tijuana","Tijuana"
"León","Mexico","de los Aldama","León","León"
"Zapopan","Mexico","","Zapopan","Zapopan"
"Monterrey","Mexico","","Monterrey","Monterrey"
"Netzahualcóyotl","Mexico","","Netzahualcóyotl","Netzahualcóyotl"
"Chihuahua","Mexico","","Chihuahua","Chihuahua"
"Naucalpan de Juárez","Mexico","","Naucalpan de Juárez","Naucalpan de Juárez"
"Hermosillo","Mexico","","Hermosillo","Hermosillo"
"Mérida","Mexico","","Mérida","Mérida"
"San Luis Potosí","Mexico","","San Luis Potosí","San Luis Potosí"
"Aguascalientes","Mexico","","Aguascalientes","Aguascalientes"
"Saltillo","Mexico","","Saltillo","Saltillo"
"Mexicali","Mexico","","Mexicali","Mexicali"
"Culiacán Rosales","Mexico","","Culiacán Rosales","Culiacán Rosales"
"Guadalupe, Nuevo León","Mexico","","Guadalupe, Nuevo León","Guadalupe, Nuevo León"
"Acapulco","Mexico","de Juárez","Acapulco","Acapulco"
"Tlalnepantla","Mexico","","Tlalnepantla","Tlalnepantla"
"Querétaro","Mexico","","Querétaro","Querétaro"
"Chimalhuacan","Mexico","","Chimalhuacan","Chimalhuacan"
