Category,Name,Visitor Count,Climate,Price Level,Best Month,Editorial Summary,Popularity Tier,Address,UNESCO,Rating,userRatingCount,websiteUri,googleMapsUri,Keyword 1,Keyword 2,Keyword 3
City,"Budapest, Hungary",11838721,Cfb,2,June - August,A major global urban destination in Hungary known for its tourism appeal.,24.7,"Budapest, Hungary",No,4.3,555261,https://www.visitbudapest.com,"https://www.google.com/maps/search/Afghanistan,CultureBudapest",Food & Wine,Nightlife,City Break
City,"Dublin, Ireland",11601947,Cfb,3,June - August,A major global urban destination in Ireland known for its tourism appeal.,23.74,"Dublin, Ireland",Yes,4.2,450286,https://www.visitdublin.com,"https://www.google.com/maps/search/Afghanistan,CultureDublin",Family,City Break,Culture & Museums
City,"Sydney, Australia",11369908,Cfa,3,"March - May, September - November",A major global urban destination in Australia known for its tourism appeal.,25.71,"Sydney, Australia",No,4.6,388237,https://www.visitsydney.com,"https://www.google.com/maps/search/Afghanistan,CultureSydney",Food & Wine,City Break,Culture & Museums
City,"Munich, Germany",11142510,Cfb,3,June - August,A major global urban destination in Germany known for its tourism appeal.,26.87,"Munich, Germany",Yes,4.8,395853,https://www.visitmunich.com,"https://www.google.com/maps/search/Afghanistan,CultureMunich",Family,Food & Wine,City Break
City,"Copenhagen, Denmark",10919659,Cfb,4,June - August,A major global urban destination in Denmark known for its tourism appeal.,25.37,"Copenhagen, Denmark",Yes,4.6,328030,https://www.visitcopenhagen.com,"https://www.google.com/maps/search/Afghanistan,CultureCopenhagen",Nightlife,City Break,Family
City,"Stockholm, Sweden",10701266,Dfb,4,June - August,A major global urban destination in Sweden known for its tourism appeal.,26.51,"Stockholm, Sweden",Yes,4.8,334000,https://www.visitstockholm.com,"https://www.google.com/maps/search/Afghanistan,CultureStockholm",Culture & Museums,Family,Food & Wine
City,"Kyoto, Japan",10487241,Cfa,2,"March - May, September - November",A major global urban destination in Japan known for its tourism appeal.,25.65,"Kyoto, Japan",No,4.5,502065,https://www.visitkyoto.com,"https://www.google.com/maps/search/Afghanistan,CultureKyoto",Romantic,City Break,Nightlife
City,"Marrakech, Morocco",10277496,BSh,1,October - March,A major global urban destination in Morocco known for its tourism appeal.,22.6,"Marrakech, Morocco",Yes,4.4,136967,https://www.visitmarrakech.com,"https://www.google.com/maps/search/Afghanistan,CultureMarrakech",Food & Wine,Family,City Break
City,"Buenos Aires, Argentina",10071946,Cfa,1,"March - May, September - November",A major global urban destination in Argentina known for its tourism appeal.,24.91,"Buenos Aires, Argentina",No,4.5,342472,https://www.visitbuenosaires.com,"https://www.google.com/maps/search/Afghanistan,CultureBuenos+Aires",Nightlife,Family,Food & Wine
City,"Rio de Janeiro, Brazil",9870507,Aw,1,November - April,A major global urban destination in Brazil known for its tourism appeal.,21.5,"Rio de Janeiro, Brazil",No,4.2,131529,https://www.visitriodejaneiro.com,"https://www.google.com/maps/search/Afghanistan,CultureRio+de+Janeiro",City Break,Food & Wine,Romantic
City,"Mexico City, Mexico",9673097,Cwb,1,April - October,A major global urban destination in Mexico known for its tourism appeal.,20.64,"Mexico City, Mexico",Yes,3.8,269492,https://www.visitmexicocity.com,"https://www.google.com/maps/search/Afghanistan,CultureMexico+City",Nightlife,City Break,Romantic
City,"Warsaw, Poland",9479635,Dfb,2,June - August,A major global urban destination in Poland known for its tourism appeal.,25.32,"Warsaw, Poland",Yes,4.7,243766,https://www.visitwarsaw.com,"https://www.google.com/maps/search/Afghanistan,CultureWarsaw",Culture & Museums,Family,City Break
City,"Zurich, Switzerland",9290042,Cfb,4,June - August,A major global urban destination in Switzerland known for its tourism appeal.,23.63,"Zurich, Switzerland",No,4.3,312636,https://www.visitzurich.com,"https://www.google.com/maps/search/Afghanistan,CultureZurich",Food & Wine,Family,City Break
City,"Cape Town, South Africa",9104242,Csb,2,May - September,A major global urban destination in South Africa known for its tourism appeal.,26.16,"Cape Town, South Africa",No,4.7,367257,https://www.visitcapetown.com,"https://www.google.com/maps/search/Afghanistan,CultureCape+Town",Romantic,Food & Wine,Culture & Museums
City,"Jerusalem, Israel",8922157,Csa,3,"April - June, September - October",A major global urban destination in Israel known for its tourism appeal.,23.03,"Jerusalem, Israel",Yes,4.1,415130,https://www.visitjerusalem.com,"https://www.google.com/maps/search/Afghanistan,CultureJerusalem",Culture & Museums,Nightlife,City Break
City,"San Francisco, USA",8743714,Csb,4,May - September,A major global urban destination in USA known for its tourism appeal.,24.32,"San Francisco, USA",Yes,4.4,336726,https://www.visitsanfrancisco.com,"https://www.google.com/maps/search/Afghanistan,CultureSan+Francisco",Food & Wine,Romantic,City Break
City,"Vancouver, Canada",8568839,Cfb,3,June - August,A major global urban destination in Canada known for its tourism appeal.,22.72,"Vancouver, Canada",Yes,4.2,257339,https://www.visitvancouver.com,"https://www.google.com/maps/search/Afghanistan,CultureVancouver",Culture & Museums,City Break,Food & Wine
City,"Toronto, Canada",8397462,Dfa,3,May - September,A major global urban destination in Canada known for its tourism appeal.,21.2,"Toronto, Canada",Yes,4.0,199860,https://www.visittoronto.com,"https://www.google.com/maps/search/Afghanistan,CultureToronto",Family,Culture & Museums,Romantic
City,"New Delhi, India",8229513,BSh,1,October - March,A major global urban destination in India known for its tourism appeal.,22.65,"New Delhi, India",No,4.4,140738,https://www.visitnewdelhi.com,"https://www.google.com/maps/search/Afghanistan,CultureNew+Delhi",Food & Wine,Nightlife,City Break
City,"Mumbai, India",8064923,Aw,1,November - April,A major global urban destination in India known for its tourism appeal.,23.31,"Mumbai, India",No,4.2,354554,https://www.visitmumbai.com,"https://www.google.com/maps/search/Afghanistan,CultureMumbai",Family,Nightlife,Culture & Museums
City,"Bangalore, India",7903624,Aw,1,November - April,A major global urban destination in India known for its tourism appeal.,26.11,"Bangalore, India",Yes,4.7,358545,https://www.visitbangalore.com,"https://www.google.com/maps/search/Afghanistan,CultureBangalore",Food & Wine,Nightlife,City Break
City,"Jaipur, India",7745552,BSh,1,October - March,A major global urban destination in India known for its tourism appeal.,19.92,"Jaipur, India",No,3.9,128056,https://www.visitjaipur.com,"https://www.google.com/maps/search/Afghanistan,CultureJaipur",Food & Wine,Romantic,City Break
City,"Hanoi, Vietnam",7590641,Cwa,1,October - April,A major global urban destination in Vietnam known for its tourism appeal.,24.65,"Hanoi, Vietnam",Yes,4.5,301132,https://www.visithanoi.com,"https://www.google.com/maps/search/Afghanistan,CultureHanoi",Nightlife,City Break,Romantic
City,"Rio de Janeiro Region 60, Brazil",1000000,Aw,1,November - April,A major global urban destination in Brazil known for its tourism appeal.,18.42,"Rio de Janeiro Region 60, Brazil",No,4.1,31072,https://www.visitriodejaneiroregion60.com,"https://www.google.com/maps/search/Afghanistan,CultureRio+de+Janeiro+Region+60",Culture & Museums,City Break,Family
City,"Shanghai Region 61, China",999000,Cfa,2,"March - May, September - November",A major global urban destination in China known for its tourism appeal.,20.99,"Shanghai Region 61, China",Yes,4.6,36501,https://www.visitshanghairegion61.com,"https://www.google.com/maps/search/Afghanistan,CultureShanghai+Region+61",Romantic,Family,Nightlife
City,"New Delhi Region 62, India",998001,BSh,1,October - March,A major global urban destination in India known for its tourism appeal.,20.05,"New Delhi Region 62, India",Yes,4.7,18449,https://www.visitnewdelhiregion62.com,"https://www.google.com/maps/search/Afghanistan,CultureNew+Delhi+Region+62",Culture & Museums,Food & Wine,Romantic
City,"Sydney Region 63, Australia",997002,Cfa,3,"March - May, September - November",A major global urban destination in Australia known for its tourism appeal.,15.91,"Sydney Region 63, Australia",Yes,3.9,12006,https://www.visitsydneyregion63.com,"https://www.google.com/maps/search/Afghanistan,CultureSydney+Region+63",Food & Wine,Nightlife,Romantic
City,"Bangkok Region 64, Thailand",996005,Aw,1,November - April,A major global urban destination in Thailand known for its tourism appeal.,19.14,"Bangkok Region 64, Thailand",No,4.6,14488,https://www.visitbangkokregion64.com,"https://www.google.com/maps/search/Afghanistan,CultureBangkok+Region+64",Nightlife,Romantic,Family
City,"New Delhi Region 65, India",995009,BSh,1,October - March,A major global urban destination in India known for its tourism appeal.,16.27,"New Delhi Region 65, India",No,4.0,11703,https://www.visitnewdelhiregion65.com,"https://www.google.com/maps/search/Afghanistan,CultureNew+Delhi+Region+65",City Break,Romantic,Nightlife
City,"Shanghai Region 66, China",994014,Cfa,2,"March - May, September - November",A major global urban destination in China known for its tourism appeal.,19.66,"Shanghai Region 66, China",Yes,4.6,18765,https://www.visitshanghairegion66.com,"https://www.google.com/maps/search/Afghanistan,CultureShanghai+Region+66",Food & Wine,Culture & Museums,City Break
City,"Taipei Region 67, Taiwan",993020,Cfa,2,"March - May, September - November",A major global urban destination in Taiwan known for its tourism appeal.,22.43,"Taipei Region 67, Taiwan",No,4.8,47154,https://www.visittaipeiregion67.com,"https://www.google.com/maps/search/Afghanistan,CultureTaipei+Region+67",Romantic,Nightlife,City Break
City,"Paris Region 68, France",992027,Cfb,3,June - August,A major global urban destination in France known for its tourism appeal.,21.16,"Paris Region 68, France",No,4.6,39755,https://www.visitparisregion68.com,"https://www.google.com/maps/search/Afghanistan,CultureParis+Region+68",Culture & Museums,Food & Wine,Romantic
City,"Hong Kong Region 69, China",991035,Cwa,3,October - April,A major global urban destination in China known for its tourism appeal.,19.45,"Hong Kong Region 69, China",Yes,4.2,42741,https://www.visithongkongregion69.com,"https://www.google.com/maps/search/Afghanistan,CultureHong+Kong+Region+69",Food & Wine,Nightlife,Culture & Museums
City,"Buenos Aires Region 70, Argentina",990044,Cfa,1,"March - May, September - November",A major global urban destination in Argentina known for its tourism appeal.,17.81,"Buenos Aires Region 70, Argentina",Yes,4.0,28354,https://www.visitbuenosairesregion70.com,"https://www.google.com/maps/search/Afghanistan,CultureBuenos+Aires+Region+70",Nightlife,Family,Food & Wine
City,"Florence Region 71, Italy",989054,Cfa,3,"March - May, September - November",A major global urban destination in Italy known for its tourism appeal.,19.47,"Florence Region 71, Italy",No,4.4,26546,https://www.visitflorenceregion71.com,"https://www.google.com/maps/search/Afghanistan,CultureFlorence+Region+71",Food & Wine,City Break,Romantic
City,"Madrid Region 72, Spain",988065,Csa,2,"April - June, September - October",A major global urban destination in Spain known for its tourism appeal.,22.3,"Madrid Region 72, Spain",Yes,4.8,44329,https://www.visitmadridregion72.com,"https://www.google.com/maps/search/Afghanistan,CultureMadrid+Region+72",Culture & Museums,Family,Food & Wine
City,"Kuala Lumpur Region 73, Malaysia",987077,Af,1,Year Round,A major global urban destination in Malaysia known for its tourism appeal.,22.07,"Kuala Lumpur Region 73, Malaysia",Yes,4.8,39695,https://www.visitkualalumpurregion73.com,"https://www.google.com/maps/search/Afghanistan,CultureKuala+Lumpur+Region+73",Romantic,Family,Nightlife
City,"Antalya Region 74, Turkey",986090,Csa,1,"April - June, September - October",A major global urban destination in Turkey known for its tourism appeal.,18.03,"Antalya Region 74, Turkey",Yes,4.3,15595,https://www.visitantalyaregion74.com,"https://www.google.com/maps/search/Afghanistan,CultureAntalya+Region+74",Romantic,Nightlife,Family
City,"Taipei Region 75, Taiwan",985104,Cfa,2,"March - May, September - November",A major global urban destination in Taiwan known for its tourism appeal.,18.89,"Taipei Region 75, Taiwan",No,4.3,24757,https://www.visittaipeiregion75.com,"https://www.google.com/maps/search/Afghanistan,CultureTaipei+Region+75",Romantic,Culture & Museums,Food & Wine
City,"Shanghai Region 76, China",984119,Cfa,2,"March - May, September - November",A major global urban destination in China known for its tourism appeal.,19.54,"Shanghai Region 76, China",No,4.5,22023,https://www.visitshanghairegion76.com,"https://www.google.com/maps/search/Afghanistan,CultureShanghai+Region+76",Culture & Museums,Romantic,Nightlife
City,"Marrakech Region 77, Morocco",983135,BSh,1,October - March,A major global urban destination in Morocco known for its tourism appeal.,18.24,"Marrakech Region 77, Morocco",Yes,4.3,17415,https://www.visitmarrakechregion77.com,"https://www.google.com/maps/search/Afghanistan,CultureMarrakech+Region+77",City Break,Romantic,Nightlife
City,"Singapore Region 78, Singapore",982152,Af,4,Year Round,A major global urban destination in Singapore known for its tourism appeal.,18.16,"Singapore Region 78, Singapore",No,4.0,34753,https://www.visitsingaporeregion78.com,"https://www.google.com/maps/search/Afghanistan,CultureSingapore+Region+78",Romantic,Food & Wine,Nightlife
City,"Los Angeles Region 79, USA",981170,Csb,3,May - September,A major global urban destination in USA known for its tourism appeal.,19.27,"Los Angeles Region 79, USA",Yes,4.7,12606,https://www.visitlosangelesregion79.com,"https://www.google.com/maps/search/Afghanistan,CultureLos+Angeles+Region+79",City Break,Family,Culture & Museums
City,"Dubai Region 80, UAE",980188,BWh,4,November - March,A major global urban destination in UAE known for its tourism appeal.,19.26,"Dubai Region 80, UAE",No,4.5,19088,https://www.visitdubairegion80.com,"https://www.google.com/maps/search/Afghanistan,CultureDubai+Region+80",City Break,Culture & Museums,Romantic
City,"Mexico City Region 81, Mexico",979208,Cwb,1,April - October,A major global urban destination in Mexico known for its tourism appeal.,18.08,"Mexico City Region 81, Mexico",No,4.3,15982,https://www.visitmexicocityregion81.com,"https://www.google.com/maps/search/Afghanistan,CultureMexico+City+Region+81",Nightlife,Family,Culture & Museums
City,"Hong Kong Region 82, China",978229,Cwa,3,October - April,A major global urban destination in China known for its tourism appeal.,17.86,"Hong Kong Region 82, China",Yes,4.2,17838,https://www.visithongkongregion82.com,"https://www.google.com/maps/search/Afghanistan,CultureHong+Kong+Region+82",Food & Wine,Culture & Museums,City Break
City,"Lisbon Region 83, Portugal",977251,Csa,2,"April - June, September - October",A major global urban destination in Portugal known for its tourism appeal.,19.68,"Lisbon Region 83, Portugal",Yes,4.4,29690,https://www.visitlisbonregion83.com,"https://www.google.com/maps/search/Afghanistan,CultureLisbon+Region+83",Culture & Museums,Romantic,Nightlife
City,"Marrakech Region 84, Morocco",976273,BSh,1,October - March,A major global urban destination in Morocco known for its tourism appeal.,19.74,"Marrakech Region 84, Morocco",Yes,4.3,38962,https://www.visitmarrakechregion84.com,"https://www.google.com/maps/search/Afghanistan,CultureMarrakech+Region+84",Food & Wine,Family,Culture & Museums
City,"New York City Region 85, USA",975297,Cfa,4,"March - May, September - November",A major global urban destination in USA known for its tourism appeal.,20.78,"New York City Region 85, USA",Yes,4.8,21352,https://www.visitnewyorkcityregion85.com,"https://www.google.com/maps/search/Afghanistan,CultureNew+York+City+Region+85",Romantic,City Break,Family
City,"Buenos Aires Region 86, Argentina",974322,Cfa,1,"March - May, September - November",A major global urban destination in Argentina known for its tourism appeal.,22.57,"Buenos Aires Region 86, Argentina",No,4.9,40381,https://www.visitbuenosairesregion86.com,"https://www.google.com/maps/search/Afghanistan,CultureBuenos+Aires+Region+86",City Break,Culture & Museums,Romantic
City,"Hanoi Region 87, Vietnam",973348,Cwa,1,October - April,A major global urban destination in Vietnam known for its tourism appeal.,22.33,"Hanoi Region 87, Vietnam",Yes,4.9,36144,https://www.visithanoiregion87.com,"https://www.google.com/maps/search/Afghanistan,CultureHanoi+Region+87",Culture & Museums,City Break,Romantic
City,"San Francisco Region 88, USA",972374,Csb,4,May - September,A major global urban destination in USA known for its tourism appeal.,20.81,"San Francisco Region 88, USA",Yes,4.5,42064,https://www.visitsanfranciscoregion88.com,"https://www.google.com/maps/search/Afghanistan,CultureSan+Francisco+Region+88",Family,City Break,Food & Wine
City,"New York City Region 89, USA",971402,Cfa,4,"March - May, September - November",A major global urban destination in USA known for its tourism appeal.,19.61,"New York City Region 89, USA",Yes,4.4,28570,https://www.visitnewyorkcityregion89.com,"https://www.google.com/maps/search/Afghanistan,CultureNew+York+City+Region+89",Family,Food & Wine,City Break
City,"Vienna Region 90, Austria",970430,Cfb,3,June - August,A major global urban destination in Austria known for its tourism appeal.,18.08,"Vienna Region 90, Austria",No,3.9,43337,https://www.visitviennaregion90.com,"https://www.google.com/maps/search/Afghanistan,CultureVienna+Region+90",Culture & Museums,City Break,Nightlife
City,"Warsaw Region 91, Poland",969460,Dfb,2,June - August,A major global urban destination in Poland known for its tourism appeal.,17.32,"Warsaw Region 91, Poland",Yes,4.3,10685,https://www.visitwarsawregion91.com,"https://www.google.com/maps/search/Afghanistan,CultureWarsaw+Region+91",Food & Wine,Family,Culture & Museums
City,"Dubai Region 92, UAE",968491,BWh,4,November - March,A major global urban destination in UAE known for its tourism appeal.,18.69,"Dubai Region 92, UAE",No,4.0,46915,https://www.visitdubairegion92.com,"https://www.google.com/maps/search/Afghanistan,CultureDubai+Region+92",City Break,Food & Wine,Family
City,"Bali Region 93, Indonesia",967522,Aw,1,November - April,A major global urban destination in Indonesia known for its tourism appeal.,18.99,"Bali Region 93, Indonesia",Yes,4.1,42749,https://www.visitbaliregion93.com,"https://www.google.com/maps/search/Afghanistan,CultureBali+Region+93",Romantic,Culture & Museums,Family
City,"Taipei Region 94, Taiwan",966555,Cfa,2,"March - May, September - November",A major global urban destination in Taiwan known for its tourism appeal.,19.98,"Taipei Region 94, Taiwan",No,4.3,44381,https://www.visittaipeiregion94.com,"https://www.google.com/maps/search/Afghanistan,CultureTaipei+Region+94",City Break,Nightlife,Romantic
City,"Cairo Region 95, Egypt",965588,BWh,1,November - March,A major global urban destination in Egypt known for its tourism appeal.,21.87,"Cairo Region 95, Egypt",Yes,4.8,36050,https://www.visitcairoregion95.com,"https://www.google.com/maps/search/Afghanistan,CultureCairo+Region+95",City Break,Nightlife,Family
City,"Istanbul Region 96, Turkey",964622,Csa,1,"April - June, September - October",A major global urban destination in Turkey known for its tourism appeal.,20.05,"Istanbul Region 96, Turkey",Yes,4.5,28605,https://www.visitistanbulregion96.com,"https://www.google.com/maps/search/Afghanistan,CultureIstanbul+Region+96",Family,Food & Wine,Nightlife
